            lat        lon
50    39.762521  64.430462
733   39.762603  64.424005
956   39.762680  64.417421
757   39.762919  64.457948
1011  39.765114  66.913479
1191  39.766138  64.435122
1276  39.766255  64.435108
948   39.766264  64.332351
432   39.766390  64.430542
717   39.766610  64.404183
411   39.767585  67.272920
92    39.769838  64.449955
196   39.770256  64.430710
514   39.771913  64.381887
651   39.773448  64.431642
391   39.779792  64.398580
818   39.780256  64.400044
654   39.780735  64.401514
928   39.780913  64.429984
205   39.781059  64.403559
785   39.781333  64.403118
834   39.783480  64.415167
376   39.784872  64.478575
1106  39.787485  64.394602
1239  39.793521  64.475142
773   39.793678  64.420392
111   39.797091  64.423276
902   39.803247  64.427716
621   39.803703  64.508328
340   39.805508  64.416198
191   39.807282  64.429708
17    39.809108  64.430097
660   39.816308  64.432640
18    39.828780  64.565250
957   39.830585  64.435895
843   39.835094  64.436587
942   39.835621  64.372060
1189  39.863604  64.446161
1342  39.870685  66.765417
553   39.876012  66.753946
520   39.883176  66.717782
1105  39.883270  64.425284
787   39.885242  64.311978
728   39.885308  64.312411
555   39.886986  66.741086
1352  39.905035  64.402063
430   39.915689  64.353059
72    39.920328  66.858727
561   39.922101  65.925682
786   39.935103  64.371817
1154  39.945780  66.538190
573   39.946992  64.377147
960   39.955411  68.394763
799   39.956199  67.540915
70    39.960576  68.418787
1243  39.961072  68.366932
1372  39.961736  68.396358
2     39.961744  68.405376
759   39.963169  68.389521
944   39.963383  68.401083
1076  39.963624  68.400121
1098  39.965007  68.397045
90    39.965110  66.486354
932   39.965186  68.390719
459   39.969378  68.404610
855   39.971053  68.405917
211   39.972030  65.779962
1192  39.972483  65.939415
931   39.973197  68.400338
238   39.973781  68.407751
534   39.975600  67.573110
1254  39.977540  67.563254
337   39.978501  68.411157
359   39.991798  66.518205
181   39.993720  68.421730
937   39.993907  68.421962
384   40.006990  64.523800
1077  40.009420  64.526120
45    40.009650  67.592000
79    40.014220  64.535300
462   40.017403  64.329301
670   40.017797  65.681678
862   40.018155  67.610037
154   40.018264  64.528376
730   40.023022  64.494787
1315  40.023062  64.532531
1073  40.029562  65.672863
1308  40.030268  65.969277
1052  40.036972  64.398046
954   40.037933  64.513842
884   40.037965  64.390418
1274  40.039401  67.648355
1164  40.053834  64.806872
44    40.058784  64.831880
144   40.059220  68.460126
1250  40.068148  67.874745
1167  40.068178  64.746655
1147  40.073229  64.736625
633   40.074121  64.569522
1140  40.074131  64.569521
706   40.075823  64.578903
440   40.077769  65.385679
1139  40.078002  65.908251
1278  40.080671  67.719386
134   40.080981  64.724135
611   40.082034  67.929738
1370  40.084100  64.508240
449   40.087069  67.912297
222   40.087869  65.378752
489   40.088716  68.151709
760   40.089110  64.661561
829   40.089258  65.379753
1258  40.089543  65.388180
851   40.089747  65.399236
809   40.090070  65.838800
1331  40.090447  64.667433
968   40.093606  64.669562
986   40.093880  64.507050
320   40.094661  65.421986
420   40.095197  65.385218
263   40.095246  64.679337
869   40.095599  68.043587
620   40.095767  67.912420
133   40.095864  64.682473
1117  40.096012  64.683097
640   40.096069  64.696741
1261  40.096070  67.896680
756   40.096099  64.672329
406   40.096490  64.685902
1198  40.097500  67.779321
54    40.097578  67.780385
1284  40.097844  67.865928
1280  40.099003  67.843307
438   40.099263  67.815448
486   40.099573  64.676297
793   40.100709  67.839096
123   40.101223  65.365017
977   40.101645  65.394719
1047  40.102005  64.686580
110   40.102533  67.837423
1218  40.102667  64.682187
622   40.102854  67.837554
1065  40.102880  67.837552
1190  40.102961  64.684629
1104  40.102973  67.839118
368   40.103635  64.698671
442   40.103992  65.374329
412   40.105791  67.829338
14    40.105818  64.683186
657   40.106162  67.820161
37    40.107092  67.835004
1054  40.108080  65.361954
1162  40.108229  67.821589
551   40.108906  67.821987
498   40.109153  67.834424
866   40.109449  67.857830
1029  40.111018  64.679449
538   40.111440  65.376880
392   40.112542  67.861753
268   40.112628  67.842941
1222  40.113037  65.359156
907   40.113044  67.824527
1183  40.113858  64.501152
674   40.114241  65.363265
1084  40.114535  67.845734
1310  40.117683  64.501076
1111  40.118315  67.826783
784   40.118818  67.829644
898   40.119831  64.502254
598   40.120129  64.513903
407   40.122505  67.844645
156   40.122821  67.828626
1330  40.123794  67.827951
738   40.124054  64.483301
487   40.124337  67.840540
214   40.125056  67.827487
1203  40.126483  65.462718
1355  40.126753  67.822143
